DATE(DD/MM/YY),TIME(hh:mm:ss),CAN-LATITUDE,CAN-LONGITUDE,CAN-ALTITUDE,CAN-ENGINERUNHOURS,CAN-FUEL-RATE,CAN-LOAD%,CAN-RPM,CAN-T-COOLANT,CAN P-OIL,CAN P-OIL.1,CAN-P-INTAKE,CAN-BATTERY VOLT
04/06/2026,14:55:59,488800000,23550000,46125,12054.0,4.8,76.1,1421,77.9,4.9,4.7,1.0,24.8
04/06/2026,14:56:29,488838461,23523076,70806,12054.0,7.3,48.8,1521,81.9,5.5,3.5,1.9,27.0
04/06/2026,14:56:59,488876923,23496153,67049,12054.0,5.5,67.2,1163,76.1,5.2,3.7,2.1,25.2
04/06/2026,14:57:29,488915384,23469230,116359,12054.0,7.5,40.9,929,85.1,5.3,4.0,1.6,26.1
04/06/2026,14:57:59,488953846,23442307,59716,12054.0,5.5,50.0,873,90.6,4.4,4.0,1.9,27.4
04/06/2026,14:58:29,488992307,23415384,112459,12054.0,5.8,64.8,1424,88.3,5.2,5.2,1.4,24.9
04/06/2026,14:58:59,489030769,23388461,30068,12054.1,6.5,55.0,950,76.1,4.8,5.3,1.7,24.8
04/06/2026,14:59:29,489069230,23361538,39175,12054.1,4.9,53.1,1191,87.8,4.0,3.7,1.1,25.8
04/06/2026,14:59:59,489107692,23334615,70624,12054.1,6.6,58.4,1109,89.1,5.2,4.2,1.3,26.3
04/06/2026,15:00:29,489146153,23307692,53632,12054.1,5.2,43.9,1089,80.3,5.1,5.1,2.4,26.4
04/06/2026,15:00:59,489184615,23280769,75972,12054.1,5.5,45.0,1733,93.5,4.7,4.2,1.1,24.4
04/06/2026,15:01:29,489223076,23253846,108306,12054.1,6.2,54.8,1713,93.9,5.4,3.8,2.1,25.5
04/06/2026,15:01:59,489261538,23226923,112021,12054.1,5.5,59.4,894,84.9,4.7,5.0,1.9,25.7
04/06/2026,15:02:29,489300000,23200000,36293,12054.1,5.8,52.9,1099,90.4,5.0,4.7,1.5,28.0
04/06/2026,15:02:59,489300000,23200000,96738,12054.1,4.6,41.4,1146,79.5,4.9,4.5,1.5,26.9
04/06/2026,15:03:29,489338461,23169230,40190,12054.1,6.0,47.2,1499,81.2,4.1,5.1,1.4,25.5
04/06/2026,15:03:59,489376923,23138461,24890,12054.2,5.1,46.6,1117,78.8,3.6,3.8,1.2,25.4
04/06/2026,15:04:29,489415384,23107692,92045,12054.2,6.9,74.4,1252,80.4,4.0,5.2,1.1,26.3
04/06/2026,15:04:59,489453846,23076923,112455,12054.2,6.2,78.1,1129,75.6,3.8,5.0,2.1,27.0
04/06/2026,15:05:29,489492307,23046153,35092,12054.2,5.7,58.4,1699,76.1,4.5,3.6,1.1,27.5
04/06/2026,15:05:59,489530769,23015384,21433,12054.2,4.8,45.6,1035,88.6,4.7,5.4,2.4,25.9
04/06/2026,15:06:29,489569230,22984615,99050,12054.2,5.4,51.0,1591,89.6,3.8,5.1,2.2,24.4
04/06/2026,15:06:59,489607692,22953846,95354,12054.2,5.8,48.8,1023,92.3,5.1,3.6,2.1,27.5
04/06/2026,15:07:29,489646153,22923076,86460,12054.2,5.2,61.3,841,79.2,4.2,3.6,1.8,26.7
04/06/2026,15:07:59,489684615,22892307,25917,12054.2,5.6,42.6,1120,91.7,4.1,3.6,2.2,27.0
04/06/2026,15:08:29,489723076,22861538,35274,12054.2,6.2,40.6,975,84.0,3.7,3.8,2.1,25.0
04/06/2026,15:08:59,489761538,22830769,107426,12054.3,7.0,74.5,1370,78.4,3.6,4.6,1.0,27.3
04/06/2026,15:09:29,489799999,22799999,42489,12054.3,6.6,66.3,984,93.7,3.8,4.3,2.3,27.8
04/06/2026,15:09:59,489799999,22799999,55342,12054.3,5.3,57.6,1516,75.7,4.8,3.8,2.0,25.9
04/06/2026,15:10:29,489838461,22773076,112594,12054.3,6.6,77.3,1240,80.9,4.9,3.6,1.1,27.7
